-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2000 through 10/31/2020 
Location: Latitude  4.9509   Longitude -52.3018 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 34.2 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PS,QV2M,T2M
4.95091,-52.30179,2000,01,01,  100.52,   17.86,   25.14
4.95091,-52.30179,2000,01,02,  100.43,   18.16,   25.21
4.95091,-52.30179,2000,01,03,  100.45,   18.14,   24.51
4.95091,-52.30179,2000,01,04,  100.51,   17.72,   24.59
4.95091,-52.30179,2000,01,05,  100.56,   17.63,   24.80
4.95091,-52.30179,2000,01,06,  100.54,   17.78,   24.98
4.95091,-52.30179,2000,01,07,  100.51,   18.14,   24.63
4.95091,-52.30179,2000,01,08,  100.46,   18.26,   24.91
4.95091,-52.30179,2000,01,09,  100.54,   17.65,   24.88
4.95091,-52.30179,2000,01,10,  100.53,   18.01,   24.61
4.95091,-52.30179,2000,01,11,  100.53,   17.99,   24.91
4.95091,-52.30179,2000,01,12,  100.54,   17.79,   24.64
4.95091,-52.30179,2000,01,13,  100.55,   17.58,   24.66
4.95091,-52.30179,2000,01,14,  100.55,   17.50,   24.39
4.95091,-52.30179,2000,01,15,  100.56,   17.54,   24.32
4.95091,-52.30179,2000,01,16,  100.53,   17.74,   24.74
4.95091,-52.30179,2000,01,17,  100.67,   17.42,   24.56
4.95091,-52.30179,2000,01,18,  100.80,   17.94,   24.89
4.95091,-52.30179,2000,01,19,  100.81,   18.40,   25.06
4.95091,-52.30179,2000,01,20,  100.76,   18.48,   25.38
4.95091,-52.30179,2000,01,21,  100.70,   18.02,   25.65
4.95091,-52.30179,2000,01,22,  100.80,   17.38,   25.45
4.95091,-52.30179,2000,01,23,  100.78,   17.22,   25.48
