-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2000 through 10/31/2020 
Location: Latitude  43.2953   Longitude 5.3739 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 95.15 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PS,QV2M,T2M
43.29531,5.37391,2000,01,01,  101.42,    4.79,    6.85
43.29531,5.37391,2000,01,02,  101.54,    5.22,    7.26
43.29531,5.37391,2000,01,03,  101.86,    5.66,    9.29
43.29531,5.37391,2000,01,04,  101.52,    6.10,    9.32
43.29531,5.37391,2000,01,05,  101.07,    6.31,    9.57
43.29531,5.37391,2000,01,06,  101.21,    6.39,    9.86
43.29531,5.37391,2000,01,07,  101.16,    5.88,    8.54
43.29531,5.37391,2000,01,08,  101.19,    5.58,    9.17
43.29531,5.37391,2000,01,09,  101.12,    5.94,    9.09
43.29531,5.37391,2000,01,10,  101.60,    5.59,    8.02
43.29531,5.37391,2000,01,11,  102.07,    5.50,    8.72
43.29531,5.37391,2000,01,12,  101.74,    5.15,    8.31
43.29531,5.37391,2000,01,13,  101.07,    4.96,    7.07
43.29531,5.37391,2000,01,14,  100.63,    5.05,    7.75
43.29531,5.37391,2000,01,15,  101.06,    5.54,    8.27
43.29531,5.37391,2000,01,16,  101.20,    5.51,    8.36
43.29531,5.37391,2000,01,17,  101.14,    4.79,    6.81
43.29531,5.37391,2000,01,18,  100.12,    5.08,    8.14
43.29531,5.37391,2000,01,19,  100.67,    4.70,    8.10
43.29531,5.37391,2000,01,20,  101.44,    4.45,    6.94
43.29531,5.37391,2000,01,21,  100.80,    4.16,    4.94
43.29531,5.37391,2000,01,22,  100.30,    4.49,    6.15
43.29531,5.37391,2000,01,23,   99.98,    4.22,    5.68
43.29531,5.37391,2000,01,24,  100.20,    4.07,    5.01
43.29531,5.37391,2000,01,25,  100.90,    4.60,    5.25
43.29531,5.37391,2000,01,26,  101.79,    3.86,    5.96
43.29531,5.37391,2000,01,27,  101.97,    4.68,    7.40
43.29531,5.37391,2000,01,28,  101.36,    5.11,    7.41
43.29531,5.37391,2000,01,29,  101.18,    5.39,    7.71
43.29531,5.37391,2000,01,30,  101.36,    6.43,   10.22
43.29531,5.37391,2000,01,31,  101.48,    6.38,    9.69
43.29531,5.37391,2000,02,01,  101.45,    7.17,   10.05
43.29531,5.37391,2000,02,02,  101.07,    7.18,   10.25
43.29531,5.37391,2000,02,03,  101.47,    5.53,    9.44
43.29531,5.37391,2000,02,04,  102.24,    6.13,   10.14
43.29531,5.37391,2000,02,05,  102.24,    6.19,    9.29
43.29531,5.37391,2000,02,06,  101.85,    6.71,   10.05
43.29531,5.37391,2000,02,07,  101.45,    6.41,   10.62
43.29531,5.37391,2000,02,08,  101.18,    7.26,   11.35
43.29531,5.37391,2000,02,09,  101.41,    5.29,    9.88
43.29531,5.37391,2000,02,10,  101.37,    4.85,    9.15
43.29531,5.37391,2000,02,11,  101.13,    5.64,    9.48
43.29531,5.37391,2000,02,12,  101.34,    5.04,    8.15
43.29531,5.37391,2000,02,13,  101.27,    5.28,    7.94
43.29531,5.37391,2000,02,14,  101.02,    5.73,    9.44
43.29531,5.37391,2000,02,15,  100.93,    6.44,   10.97
43.29531,5.37391,2000,02,16,  100.32,    6.28,   10.06
43.29531,5.37391,2000,02,17,  100.24,    4.75,    7.17
43.29531,5.37391,2000,02,18,  100.64,    6.01,    9.29
43.29531,5.37391,2000,02,19,  100.29,    6.31,   10.84
43.29531,5.37391,2000,02,20,  100.71,    4.32,    6.87
43.29531,5.37391,2000,02,21,  101.19,    4.16,    7.58
43.29531,5.37391,2000,02,22,  101.12,    5.01,    8.21
43.29531,5.37391,2000,02,23,  101.30,    4.81,    8.00
43.29531,5.37391,2000,02,24,  101.72,    5.06,    8.68
43.29531,5.37391,2000,02,25,  101.73,    6.59,   10.87
43.29531,5.37391,2000,02,26,  101.68,    6.41,   11.52
43.29531,5.37391,2000,02,27,  101.76,    7.22,   10.98
43.29531,5.37391,2000,02,28,  101.71,    7.30,   11.01
43.29531,5.37391,2000,02,29,  101.27,    7.35,   10.86
43.29531,5.37391,2000,03,01,  100.14,    6.64,   10.81
43.29531,5.37391,2000,03,02,  101.00,    4.22,    8.15
43.29531,5.37391,2000,03,03,  101.01,    4.91,    8.29
43.29531,5.37391,2000,03,04,  100.79,    5.58,    9.51
43.29531,5.37391,2000,03,05,  101.46,    4.13,    8.31
43.29531,5.37391,2000,03,06,  101.91,    5.84,    9.46
43.29531,5.37391,2000,03,07,  101.77,    6.41,   10.32
43.29531,5.37391,2000,03,08,  101.67,    6.04,   11.06
43.29531,5.37391,2000,03,09,  101.40,    6.83,   12.78
43.29531,5.37391,2000,03,10,  100.97,    6.93,   13.40
43.29531,5.37391,2000,03,11,  100.83,    6.78,   12.55
43.29531,5.37391,2000,03,12,  100.78,    6.78,   11.60
43.29531,5.37391,2000,03,13,  101.11,    7.47,   12.32
43.29531,5.37391,2000,03,14,  101.08,    6.91,   12.39
43.29531,5.37391,2000,03,15,  100.68,    5.70,   11.73
43.29531,5.37391,2000,03,16,  101.02,    5.29,   11.32
43.29531,5.37391,2000,03,17,  100.62,    5.98,   12.36
43.29531,5.37391,2000,03,18,  100.49,    5.88,   12.30
43.29531,5.37391,2000,03,19,  100.80,    6.50,   10.81
43.29531,5.37391,2000,03,20,  100.82,    5.25,    9.71
43.29531,5.37391,2000,03,21,  100.97,    5.43,   10.26
43.29531,5.37391,2000,03,22,  100.95,    6.40,   10.56
43.29531,5.37391,2000,03,23,  100.51,    6.98,   11.21
43.29531,5.37391,2000,03,24,  100.33,    7.56,   12.53
43.29531,5.37391,2000,03,25,  100.53,    6.95,   11.44
43.29531,5.37391,2000,03,26,  100.26,    6.22,   11.07
43.29531,5.37391,2000,03,27,   99.65,    5.45,    9.56
43.29531,5.37391,2000,03,28,   99.46,    4.72,    9.65
43.29531,5.37391,2000,03,29,   99.77,    5.04,    8.81
43.29531,5.37391,2000,03,30,  100.36,    5.20,    9.62
43.29531,5.37391,2000,03,31,   99.77,    6.94,   10.29
43.29531,5.37391,2000,04,01,   99.70,    5.68,    9.83
43.29531,5.37391,2000,04,02,   99.07,    6.71,   11.51
43.29531,5.37391,2000,04,03,   98.33,    7.49,   12.24
43.29531,5.37391,2000,04,04,   98.51,    7.89,   12.58
43.29531,5.37391,2000,04,05,   99.41,    6.43,   11.71
43.29531,5.37391,2000,04,06,  100.36,    5.73,   10.71
43.29531,5.37391,2000,04,07,  101.02,    6.39,   11.64
43.29531,5.37391,2000,04,08,  100.83,    6.62,   12.21
43.29531,5.37391,2000,04,09,   99.57,    6.65,   11.34
43.29531,5.37391,2000,04,10,   99.32,    6.83,   11.67
43.29531,5.37391,2000,04,11,   98.93,    7.21,   12.50
43.29531,5.37391,2000,04,12,   99.07,    6.50,   11.78
43.29531,5.37391,2000,04,13,   99.35,    8.16,   12.43
