LAT,LON,YEAR,MO,DY,T2M
-21.34449,55.47301,2000,1,1,   25.00
-21.34449,55.47301,2000,1,2,   25.00
-21.34449,55.47301,2000,1,3,   25.19
-21.34449,55.47301,2000,1,4,   25.25
-21.34449,55.47301,2000,1,5,   25.02
-21.34449,55.47301,2000,1,6,   25.12
-21.34449,55.47301,2000,1,7,   24.61
-21.34449,55.47301,2000,1,8,   25.24
-21.34449,55.47301,2000,1,9,   25.48
-21.34449,55.47301,2000,1,10,   25.56
-21.34449,55.47301,2000,1,11,   25.24
-21.34449,55.47301,2000,1,12,   25.62
-21.34449,55.47301,2000,1,13,   25.36
-21.34449,55.47301,2000,1,14,   26.18
-21.34449,55.47301,2000,1,15,   26.48
-21.34449,55.47301,2000,1,16,   26.57
-21.34449,55.47301,2000,1,17,   27.04
-21.34449,55.47301,2000,1,18,   27.26
-21.34449,55.47301,2000,1,19,   27.50
-21.34449,55.47301,2000,1,20,   27.25
-21.34449,55.47301,2000,1,21,   26.63
-21.34449,55.47301,2000,1,22,   27.80
-21.34449,55.47301,2000,1,23,   27.83
-21.34449,55.47301,2000,1,24,   27.26
-21.34449,55.47301,2000,1,25,   26.86
-21.34449,55.47301,2000,1,26,   27.16
-21.34449,55.47301,2000,1,27,   27.58
-21.34449,55.47301,2000,1,28,   27.19
-21.34449,55.47301,2000,1,29,   26.75
-21.34449,55.47301,2000,1,30,   26.93
-21.34449,55.47301,2000,1,31,   26.48
-21.34449,55.47301,2000,2,1,   26.16
-21.34449,55.47301,2000,2,2,   25.97
-21.34449,55.47301,2000,2,3,   25.85
-21.34449,55.47301,2000,2,4,   25.65
-21.34449,55.47301,2000,2,5,   26.03
-21.34449,55.47301,2000,2,6,   26.55
-21.34449,55.47301,2000,2,7,   26.45
-21.34449,55.47301,2000,2,8,   26.48
-21.34449,55.47301,2000,2,9,   26.25
-21.34449,55.47301,2000,2,10,   26.18
-21.34449,55.47301,2000,2,11,   26.56
-21.34449,55.47301,2000,2,12,   26.27
-21.34449,55.47301,2000,2,13,   26.72
-21.34449,55.47301,2000,2,14,   26.48
-21.34449,55.47301,2000,2,15,   25.87
-21.34449,55.47301,2000,2,16,   26.47
-21.34449,55.47301,2000,2,17,   26.00
-21.34449,55.47301,2000,2,18,   25.55
-21.34449,55.47301,2000,2,19,   25.56
-21.34449,55.47301,2000,2,20,   25.33
-21.34449,55.47301,2000,2,21,   25.53
-21.34449,55.47301,2000,2,22,   25.69
-21.34449,55.47301,2000,2,23,   25.59
-21.34449,55.47301,2000,2,24,   25.34
-21.34449,55.47301,2000,2,25,   25.12
-21.34449,55.47301,2000,2,26,   25.17
-21.34449,55.47301,2000,2,27,   25.42
-21.34449,55.47301,2000,2,28,   25.59
-21.34449,55.47301,2000,2,29,   25.96
-21.34449,55.47301,2000,3,1,   25.85
-21.34449,55.47301,2000,3,2,   25.67
-21.34449,55.47301,2000,3,3,   25.59
-21.34449,55.47301,2000,3,4,   25.50
-21.34449,55.47301,2000,3,5,   25.69
-21.34449,55.47301,2000,3,6,   25.26
-21.34449,55.47301,2000,3,7,   25.27
-21.34449,55.47301,2000,3,8,   25.48
-21.34449,55.47301,2000,3,9,   25.53
-21.34449,55.47301,2000,3,10,   25.79
-21.34449,55.47301,2000,3,11,   25.52
-21.34449,55.47301,2000,3,12,   25.64
-21.34449,55.47301,2000,3,13,   25.73
-21.34449,55.47301,2000,3,14,   25.54
-21.34449,55.47301,2000,3,15,   25.67
-21.34449,55.47301,2000,3,16,   25.80
-21.34449,55.47301,2000,3,17,   26.12
-21.34449,55.47301,2000,3,18,   25.82
-21.34449,55.47301,2000,3,19,   25.69
-21.34449,55.47301,2000,3,20,   25.78
-21.34449,55.47301,2000,3,21,   25.76
-21.34449,55.47301,2000,3,22,   26.02
-21.34449,55.47301,2000,3,23,   25.66
-21.34449,55.47301,2000,3,24,   26.00
-21.34449,55.47301,2000,3,25,   25.82
-21.34449,55.47301,2000,3,26,   25.68
-21.34449,55.47301,2000,3,27,   26.15
-21.34449,55.47301,2000,3,28,   25.95
-21.34449,55.47301,2000,3,29,   25.93
-21.34449,55.47301,2000,3,30,   25.62
-21.34449,55.47301,2000,3,31,   25.79
-21.34449,55.47301,2000,4,1,   26.22
-21.34449,55.47301,2000,4,2,   26.06
-21.34449,55.47301,2000,4,3,   25.76
-21.34449,55.47301,2000,4,4,   25.72
-21.34449,55.47301,2000,4,5,   25.31
-21.34449,55.47301,2000,4,6,   25.14
-21.34449,55.47301,2000,4,7,   25.25
-21.34449,55.47301,2000,4,8,   25.13
-21.34449,55.47301,2000,4,9,   25.22
-21.34449,55.47301,2000,4,10,   24.75
-21.34449,55.47301,2000,4,11,   24.60
-21.34449,55.47301,2000,4,12,   24.71
-21.34449,55.47301,2000,4,13,   24.65
-21.34449,55.47301,2000,4,14,   25.21
